year,ghgAbateAnnualFMs
2020,488000.0
2021,1285398.4319685
2022,2130391.4657241
2023,3023388.38705645
2024,3964798.4817552
2025,4955031.03561
2026,5994495.3344105
2027,7083600.663946349
2028,8222756.3100072
2029,9412371.558382701
2030,10652855.6948625
2031,11944618.005236253
2032,13288067.775293604
2033,14683614.2908242
2034,16131666.837617699
2035,17632634.701463755
2036,19186927.168152
2037,20626593.523472104
2038,22110643.053213697
2039,23639485.04316645
2040,25213528.77912
2041,26833183.546864
2042,28498858.6321881
2043,30210963.320881948
2044,31969906.898735203
2045,33482961.668360684
2046,34312028.33502735
2047,35008828.33502735
2048,35541095.00169401
2049,37578874.23091321
2050,39307074.526962526
