year,costAnnualAgri
2020,0.0
2021,7800470.1555254925
2022,15757984.715128034
2023,27680771.218395613
2024,41817595.20252465
2025,55862723.04343039
2026,78413635.66096696
2027,100291327.64328668
2028,121352054.84048152
2029,141606385.34147525
2030,161486643.76009253
2031,180768297.95739153
2032,198961372.7625555
2033,216111295.6815595
2034,232329871.82036448
2035,247200793.2159242
2036,260651039.29027608
2037,272058137.6957068
2038,280696620.3396186
2039,286142683.19444925
2040,286918123.02067554
2041,285517195.7691637
2042,282085904.61011595
2043,269102938.1688188
2044,254978408.91480404
2045,240853879.66078928
2046,226729350.4067745
2047,212604821.15275985
2048,198480291.8987451
2049,184355762.6447305
2050,170231233.39071572
